algorithm,parameter,value,run,seed,best_true_f,x1,x2,feasible,evaluations
SA,step_size,0.3,5,20288647,-0.5795519528450798,0.8016076114676756,0.5978505141229606,1,2000
SA,step_size,0.3,6,20289656,-0.706108136762372,0.8603367381247499,0.5097261000114329,1,2000
SA,step_size,0.3,7,20290665,-0.7250508220971916,0.8518891747547941,0.5237220960925708,1,2000
SA,step_size,0.3,8,20291674,-0.7298240422785575,0.8440977959728776,0.5361892490844351,1,2000
SA,step_size,0.3,9,20292683,-0.7262390410201741,0.8385932396258127,0.5447580916827984,1,2000
GA,crossover_rate,0.6,0,20360602,-0.6979978292489761,0.8259432371706054,0.5637532873271258,1,2000
GA,crossover_rate,0.6,1,20361611,-0.733442913640146,0.8313181253739467,0.5239072829569642,1,2000
GA,crossover_rate,0.6,2,20362620,-0.6668286818404265,0.8178387016098494,0.5754475285802484,1,2000
GA,crossover_rate,0.6,3,20363629,-0.7114955616227217,0.8203646607034812,0.5476521285545248,1,2000
GA,crossover_rate,0.6,4,20364638,-0.7289749041186466,0.8417439300169405,0.5398769825429087,1,2000
GA,crossover_rate,0.6,5,20365647,-0.6896318388003453,0.814862561256815,0.49076482128653187,1,2000
GA,crossover_rate,0.6,6,20366656,-0.6505273166475036,0.872840025548364,0.48800644442541063,1,2000
GA,crossover_rate,0.6,7,20367665,-0.6839143711894324,0.8228990877047849,0.4791084616552761,1,2000
GA,crossover_rate,0.6,8,20368674,-0.7154750269774622,0.8205443132983811,0.5432686095773487,1,2000
GA,crossover_rate,0.6,9,20369683,-0.6714309571136937,0.868944113298194,0.4949102221256047,1,2000
GA,crossover_rate,0.75,0,20361602,-0.7276697152889147,0.8496190989266763,0.5273968019802759,1,2000
GA,crossover_rate,0.75,1,20362611,-0.5741941206899477,0.800752892532131,0.5989948289438112,1,2000
GA,crossover_rate,0.75,2,20363620,-0.7279047011169569,0.840251950911844,0.5421961443876562,1,2000
GA,crossover_rate,0.75,3,20364629,-0.7031841970834289,0.8612468201564432,0.5081868896089461,1,2000
GA,crossover_rate,0.75,4,20365638,-0.7123147245221265,0.8178150717276849,0.5072661007590408,1,2000
GA,crossover_rate,0.75,5,20366647,-0.69977039302294,0.8622467850493225,0.506488382563813,1,2000
GA,crossover_rate,0.75,6,20367656,-0.7247220909284262,0.8373901470038262,0.5466056546550815,1,2000
GA,crossover_rate,0.75,7,20368665,-0.6922430526160959,0.8242421982389044,0.5662374048420844,1,2000
GA,crossover_rate,0.75,8,20369674,-0.7271021666505433,0.8393909839374564,0.5435280821489435,1,2000
GA,crossover_rate,0.75,9,20370683,-0.7163246924460304,0.832666591803946,0.5537746354733132,1,2000
GA,crossover_rate,0.85,0,20362602,-0.7033116959164929,0.8271312741380665,0.5609624279192199,1,2000
GA,crossover_rate,0.85,1,20363611,-0.6670853972821913,0.81789695452832,0.5753647293441781,1,2000
GA,crossover_rate,0.85,2,20364620,-0.7287496162798702,0.8413769572592183,0.5404487170798165,1,2000
GA,crossover_rate,0.85,3,20365629,-0.727071337105415,0.839360545934269,0.543575085824328,1,2000
GA,crossover_rate,0.85,4,20366638,-0.7297789678718358,0.845842197228315,0.5334331986181363,1,2000
GA,crossover_rate,0.85,5,20367647,-0.7232693855465026,0.8363921182694052,0.548131575898358,1,2000
GA,crossover_rate,0.85,6,20368656,-0.6969261195622773,0.8630362221893153,0.5051420386279435,1,2000
GA,crossover_rate,0.85,7,20369665,-0.6631962645112487,0.8705525268634383,0.4920755002758039,1,2000
GA,crossover_rate,0.85,8,20370674,-0.6520556795671351,0.8689525701978702,0.48165330082618435,1,2000
GA,crossover_rate,0.85,9,20371683,-0.7049156599132416,0.8566839150352693,0.49957749015119607,1,2000
GA,crossover_rate,0.95,0,20363602,-0.7297393082238589,0.843635916397701,0.5369156736060245,1,2000
GA,crossover_rate,0.95,1,20364611,-0.7249326776886762,0.8375456844477088,0.546367299957656,1,2000
GA,crossover_rate,0.95,2,20365620,-0.727616713285731,0.8496758606598493,0.5273053496902381,1,2000
GA,crossover_rate,0.95,3,20366629,-0.6898963827225482,0.8235828475031137,0.5671959919627985,1,2000
GA,crossover_rate,0.95,4,20367638,-0.7089652613326924,0.8366041561436266,0.48875760647164684,1,2000
GA,crossover_rate,0.95,5,20368647,-0.7285888844814963,0.8411370057842874,0.5408220941310031,1,2000
GA,crossover_rate,0.95,6,20369656,-0.7047358672947279,0.8281261448572098,0.5605417809618973,1,2000
GA,crossover_rate,0.95,7,20370665,-0.7280653249902347,0.8275990688489973,0.5360429789545517,1,2000
GA,crossover_rate,0.95,8,20371674,-0.702821517368739,0.8328600661118372,0.48526625517761146,1,2000
GA,crossover_rate,0.95,9,20372683,-0.7166173804274869,0.8564632186192175,0.5162080541336121,1,2000
GA,mutation_step,0.08,0,20370602,-0.6521044525443997,0.8146504426928892,0.579952287882615,1,2000
GA,mutation_step,0.08,1,20371611,-0.7196232389423529,0.835853057016686,0.49703205570936226,1,2000
GA,mutation_step,0.08,2,20372620,-0.6918117678981331,0.8625718219993909,0.4984735816591518,1,2000
GA,mutation_step,0.08,3,20373629,-0.7138277962685009,0.8189586153647909,0.5422356040465213,1,2000
GA,mutation_step,0.08,4,20374638,-0.7223941435003975,0.8358420374685355,0.5489700250473127,1,2000
GA,mutation_step,0.08,5,20375647,-0.6795918856528884,0.8208736078512907,0.5711099017992998,1,2000
GA,mutation_step,0.08,6,20376656,-0.7268261899660753,0.8391241313970715,0.5439399710511356,1,2000
GA,mutation_step,0.08,7,20377665,-0.7344773189246248,0.8378628036208283,0.5197475143386023,1,2000
GA,mutation_step,0.08,8,20378674,-0.4100410673279118,0.4923781977634719,0.8703813591565454,1,2000
GA,mutation_step,0.08,9,20379683,-0.7289008894008095,0.848022203599775,0.5299606987332004,1,2000
GA,mutation_step,0.14,0,20371602,-0.7298329426871941,0.8441644332543783,0.5360843307058272,1,2000
GA,mutation_step,0.14,1,20372611,-0.7187116257512969,0.8310581261177782,0.4976021021670932,1,2000
GA,mutation_step,0.14,2,20373620,-0.7169379438860618,0.8329509679178836,0.5533468035912567,1,2000
GA,mutation_step,0.14,3,20374629,-0.7238989052251313,0.8526783334533451,0.5224362732996493,1,2000
