algorithm,run,seed,noise_label,best_true_f,best_observed_f,x1,x2,feasible,evaluations,param_initial_temp,param_cooling_rate,param_step_size,param_min_temp,param_population_size,param_elite_fraction,param_crossover_rate,param_mutation_step,param_mutation_decay,param_min_mutation_step,param_tournament_size,param_initial_step,param_min_step,param_base_samples,param_max_samples,param_ambiguity_z
ARS,14,20474734,hetero,-0.7241055027911031,-1.2201780043135726,0.8525429032404056,0.5226572472801084,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,15,20275737,hetero,-0.7287399741396209,-1.3917702939337548,0.848274014743149,0.5295575473086376,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,15,20375740,hetero,-0.716480880423028,-1.3300666831548358,0.8327384264718268,0.5536666082375079,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,15,20475743,hetero,-0.588546155218865,-0.9817606640716948,0.8030670654277651,0.5958886543853958,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,16,20276746,hetero,-0.7099967064912496,-1.2771289460300883,0.8300280752288951,0.5577216100634934,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,16,20376749,hetero,-0.6547105892424616,-1.2459644189958858,0.8104639103004123,0.5745489240113587,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,16,20476752,hetero,-0.7298458145652509,-1.3661577350996161,0.8442745961716537,0.5359108193152955,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,17,20277755,hetero,-0.6447040828244641,-1.3599078791310035,0.873828604159808,0.4862340697155247,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,17,20377758,hetero,-0.7147254094297388,-1.3494406415252165,0.8222084400158204,0.5469053899223674,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,17,20477761,hetero,-0.7293040481761364,-1.186784080359349,0.8472782748722226,0.5311492492036023,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,18,20278764,hetero,-0.7320293641900373,-1.3454530061439955,0.8362352688002295,0.5360377204459986,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,18,20378767,hetero,-0.6582082980338344,-1.3662486100974756,0.7999677450806586,0.5536435326146442,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,18,20478770,hetero,-0.6082273130544406,-1.0792617470761858,0.7910071204963398,0.5680766414857498,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,19,20279773,hetero,-0.6947544526770992,-1.3129714500294274,0.8249688209646627,0.5651782412975345,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,19,20379776,hetero,-0.7205073574968119,-1.2979026497892743,0.8347533908726769,0.5506239882411299,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
